Start Time (UTC) = 1729584223.221370
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
6.459200	1559.4694	1554.1639	1549.1766	1545.0536	1542.3398	1559.5661	1553.7187	1549.1055	1546.4554	1542.6638
6.460000	1559.4694	1554.1639	1549.1766	1545.0521	1542.3398	1559.5676	1553.7203	1549.1063	1546.4546	1542.6638
6.460800	1559.4678	1554.1639	1549.1766	1545.0521	1542.3406	1559.5653	1553.7203	1549.1063	1546.4562	1542.6630
6.461600	1559.4686	1554.1639	1549.1774	1545.0528	1542.3406	1559.5668	1553.7203	1549.1071	1546.4554	1542.6638
6.462400	1559.4694	1554.1639	1549.1759	1545.0528	1542.3398	1559.5668	1553.7195	1549.1063	1546.4562	1542.6638
6.463200	1559.4686	1554.1639	1549.1766	1545.0528	1542.3398	1559.5637	1553.7187	1549.1078	1546.4562	1542.6638
6.464000	1559.4686	1554.1647	1549.1759	1545.0528	1542.3398	1559.5653	1553.7203	1549.1063	1546.4554	1542.6630
6.464800	1559.4686	1554.1647	1549.1766	1545.0528	1542.3398	1559.5661	1553.7195	1549.1071	1546.4554	1542.6638
6.465600	1559.4694	1554.1639	1549.1774	1545.0528	1542.3406	1559.5653	1553.7195	1549.1063	1546.4562	1542.6638
6.466400	1559.4686	1554.1639	1549.1766	1545.0528	1542.3398	1559.5676	1553.7187	1549.1071	1546.4554	1542.6638
6.467200	1559.4686	1554.1632	1549.1759	1545.0536	1542.3406	1559.5668	1553.7187	1549.1063	1546.4562	1542.6638
6.468000	1559.4686	1554.1639	1549.1751	1545.0528	1542.3398	1559.5653	1553.7195	1549.1063	1546.4569	1542.6638
6.468800	1559.4678	1554.1639	1549.1766	1545.0528	1542.3391	1559.5645	1553.7195	1549.1071	1546.4562	1542.6638
6.469600	1559.4686	1554.1647	1549.1759	1545.0536	1542.3398	1559.5661	1553.7195	1549.1063	1546.4562	1542.6638
6.470400	1559.4686	1554.1639	1549.1759	1545.0528	1542.3406	1559.5661	1553.7195	1549.1063	1546.4562	1542.6638
6.471200	1559.4686	1554.1639	1549.1759	1545.0528	1542.3398	1559.5645	1553.7211	1549.1063	1546.4562	1542.6630
6.472000	1559.4670	1554.1647	1549.1766	1545.0528	1542.3406	1559.5645	1553.7195	1549.1071	1546.4562	1542.6638
6.472800	1559.4686	1554.1655	1549.1774	1545.0528	1542.3398	1559.5653	1553.7203	1549.1063	1546.4562	1542.6638
6.473600	1559.4678	1554.1639	1549.1766	1545.0536	1542.3406	1559.5645	1553.7195	1549.1071	1546.4562	1542.6638
6.474400	1559.4686	1554.1647	1549.1759	1545.0536	1542.3398	1559.5653	1553.7195	1549.1063	1546.4562	1542.6638
6.475200	1559.4678	1554.1647	1549.1766	1545.0521	1542.3398	1559.5661	1553.7195	1549.1063	1546.4569	1542.6638
6.476000	1559.4686	1554.1647	1549.1759	1545.0544	1542.3398	1559.5653	1553.7203	1549.1071	1546.4554	1542.6638
6.476800	1559.4686	1554.1647	1549.1759	1545.0544	1542.3398	1559.5661	1553.7195	1549.1063	1546.4562	1542.6638
